group,window_id,origin,covariate_name,pre_norm_mean,pre_norm_std,pre_norm_min,pre_norm_max
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_000,0.9823898077011108,0.0,0.9823898077011108,0.9823898077011108
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_001,0.34639525413513184,0.0,0.34639525413513184,0.34639525413513184
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_002,1.1775693893432617,0.0,1.1775693893432617,1.1775693893432617
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_003,-0.10703516006469727,0.0,-0.10703516006469727,-0.10703516006469727
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_004,-0.9579089879989624,0.0,-0.9579089879989624,-0.9579089879989624
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_005,0.44451528787612915,5.960464477539063e-08,0.4445153474807739,0.4445153474807739
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_006,-0.18626998364925385,1.4901161193847656e-08,-0.18626996874809265,-0.18626996874809265
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_007,0.022025881335139275,1.862645149230957e-09,0.022025879472494125,0.022025879472494125
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_008,0.34737592935562134,2.9802322387695312e-08,0.3473759591579437,0.3473759591579437
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_009,0.7676934599876404,0.0,0.7676934599876404,0.7676934599876404
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_010,0.5757126808166504,0.0,0.5757126808166504,0.5757126808166504
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_011,-0.22607752680778503,2.9802322387695312e-08,-0.22607749700546265,-0.22607749700546265
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_012,-0.5796900987625122,5.960464477539063e-08,-0.579690158367157,-0.579690158367157
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_013,-0.7374402284622192,5.960464477539063e-08,-0.737440288066864,-0.737440288066864
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_014,-0.7597097754478455,5.960464477539063e-08,-0.7597097158432007,-0.7597097158432007
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_015,-0.29633423686027527,0.0,-0.29633423686027527,-0.29633423686027527
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_016,0.15949022769927979,0.0,0.15949022769927979,0.15949022769927979
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_017,0.0469326376914978,0.0,0.0469326376914978,0.0469326376914978
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_018,-0.09707062691450119,7.450580596923828e-09,-0.09707063436508179,-0.09707063436508179
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_019,-0.1604447215795517,1.4901161193847656e-08,-0.1604447066783905,-0.1604447066783905
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_020,-0.03601941466331482,7.450580596923828e-09,-0.036019422113895416,-0.036019422113895416
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_021,-0.3251914083957672,2.9802322387695312e-08,-0.3251913785934448,-0.3251913785934448
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_022,-1.010555624961853,1.1920928955078125e-07,-1.0105557441711426,-1.0105557441711426
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_023,0.6713334321975708,5.960464477539063e-08,0.6713334918022156,0.6713334918022156
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_024,0.13015758991241455,1.4901161193847656e-08,0.13015757501125336,0.13015757501125336
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_025,0.06289833039045334,0.0,0.06289833039045334,0.06289833039045334
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_026,-1.2429933547973633,2.384185791015625e-07,-1.2429931163787842,-1.2429931163787842
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_027,-0.46631234884262085,0.0,-0.46631234884262085,-0.46631234884262085
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_028,-0.03720706328749657,3.725290298461914e-09,-0.03720705956220627,-0.03720705956220627
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_029,-0.3970973491668701,0.0,-0.3970973491668701,-0.3970973491668701
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_030,0.008031967096030712,9.313225746154785e-10,0.008031968027353287,0.008031968027353287
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_031,0.21112896502017975,1.4901161193847656e-08,0.21112895011901855,0.21112895011901855
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_032,-0.009396836161613464,0.0,-0.009396836161613464,-0.009396836161613464
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_033,0.31290000677108765,2.9802322387695312e-08,0.31289997696876526,0.31289997696876526
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_034,0.2927785813808441,2.9802322387695312e-08,0.2927786111831665,0.2927786111831665
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_035,0.048022206872701645,0.0,0.048022206872701645,0.048022206872701645
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_036,0.7008847594261169,5.960464477539063e-08,0.7008846998214722,0.7008846998214722
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_037,0.3928026854991913,2.9802322387695312e-08,0.3928026556968689,0.3928026556968689
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_038,-0.5173988342285156,0.0,-0.5173988342285156,-0.5173988342285156
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_039,-0.7079548835754395,0.0,-0.7079548835754395,-0.7079548835754395
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_040,0.9857820868492126,0.0,0.9857820868492126,0.9857820868492126
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_041,0.4288902282714844,0.0,0.4288902282714844,0.4288902282714844
aligned,w0,2013-10-20T16:00:00.000000000,fusion_emb_042,1.3046178817749023,1.1920928955078125e-07,1.304618000984192,1.304618000984192
