date,zone1,zone2,zone3
2012-04-01 01:00:00,0.754103,0.647328,0.799000
2012-04-01 02:00:00,0.555000,0.621822,0.817500
2012-04-01 03:00:00,0.438397,0.472692,0.571500
2012-04-01 04:00:00,0.145449,0.098866,0.063775
2012-04-01 05:00:00,0.111987,0.104393,0.103700
2012-04-01 06:00:00,0.057244,0.072632,0.054575
2012-04-01 07:00:00,0.088718,0.295607,0.123350
2012-04-01 08:00:00,0.030064,0.107632,0.027875
2012-04-01 09:00:00,0.000128,0.000000,0.000125
2012-04-01 10:00:00,0.000000,0.000000,0.000000
2012-04-01 11:00:00,0.000000,0.000000,0.000000
2012-04-01 12:00:00,0.000000,0.000000,0.000000
2012-04-01 13:00:00,0.000000,0.000000,0.000000
2012-04-01 14:00:00,0.000000,0.000000,0.000000
2012-04-01 15:00:00,0.000000,0.000000,0.000000
2012-04-01 16:00:00,0.000000,0.000000,0.000000
2012-04-01 17:00:00,0.000000,0.000000,0.000000
2012-04-01 18:00:00,0.000000,0.000000,0.000000
2012-04-01 19:00:00,0.000000,0.000000,0.000000
2012-04-01 20:00:00,0.000000,0.000000,0.000000
2012-04-01 21:00:00,0.006346,0.007733,0.029000
2012-04-01 22:00:00,0.071538,0.074798,0.249625
2012-04-01 23:00:00,0.229167,0.151862,0.252800
2012-04-02 00:00:00,0.346474,0.256842,0.154200
2012-04-02 01:00:00,0.656859,0.418502,0.522925
2012-04-02 02:00:00,0.771410,0.675972,0.743050
2012-04-02 03:00:00,0.613782,0.841032,0.803450
2012-04-02 04:00:00,0.554808,0.829838,0.734025
2012-04-02 05:00:00,0.458910,0.701943,0.591475
2012-04-02 06:00:00,0.198269,0.574737,0.374025
2012-04-02 07:00:00,0.085064,0.420972,0.106650
2012-04-02 08:00:00,0.011474,0.094798,0.014125
2012-04-02 09:00:00,0.000128,0.000000,0.000075
2012-04-02 10:00:00,0.000000,0.000000,0.000000
2012-04-02 11:00:00,0.000000,0.000000,0.000000
2012-04-02 12:00:00,0.000000,0.000000,0.000000
2012-04-02 13:00:00,0.000000,0.000000,0.000000
2012-04-02 14:00:00,0.000000,0.000000,0.000000
2012-04-02 15:00:00,0.000000,0.000000,0.000000
2012-04-02 16:00:00,0.000000,0.000000,0.000000
2012-04-02 17:00:00,0.000000,0.000000,0.000000
2012-04-02 18:00:00,0.000000,0.000000,0.000000
2012-04-02 19:00:00,0.000000,0.000000,0.000000
2012-04-02 20:00:00,0.000000,0.000000,0.000000
2012-04-02 21:00:00,0.015000,0.014676,0.013000
2012-04-02 22:00:00,0.086282,0.053117,0.085700
2012-04-02 23:00:00,0.315256,0.212126,0.308150
2012-04-03 00:00:00,0.514551,0.426822,0.652900
2012-04-03 01:00:00,0.734615,0.576700,0.775475
2012-04-03 02:00:00,0.675256,0.529271,0.625950
2012-04-03 03:00:00,0.618910,0.671761,0.755150
2012-04-03 04:00:00,0.514167,0.729190,0.701375
2012-04-03 05:00:00,0.436474,0.681134,0.554825
2012-04-03 06:00:00,0.248397,0.588441,0.363600
2012-04-03 07:00:00,0.072051,0.319231,0.123400
2012-04-03 08:00:00,0.012628,0.030486,0.018175
2012-04-03 09:00:00,0.000128,0.000000,0.000125
2012-04-03 10:00:00,0.000000,0.000000,0.000000
2012-04-03 11:00:00,0.000000,0.000000,0.000000
2012-04-03 12:00:00,0.000000,0.000000,0.000000
2012-04-03 13:00:00,0.000000,0.000000,0.000000
2012-04-03 14:00:00,0.000000,0.000000,0.000000
2012-04-03 15:00:00,0.000000,0.000000,0.000000
2012-04-03 16:00:00,0.000000,0.000000,0.000000
2012-04-03 17:00:00,0.000000,0.000000,0.000000
2012-04-03 18:00:00,0.000000,0.000000,0.000000
2012-04-03 19:00:00,0.000000,0.000000,0.000000
2012-04-03 20:00:00,0.000000,0.000000,0.000000
2012-04-03 21:00:00,0.016731,0.008543,0.019075
2012-04-03 22:00:00,0.213654,0.075405,0.318850
2012-04-03 23:00:00,0.565385,0.265445,0.537450
2012-04-04 00:00:00,0.708782,0.451903,0.682300
2012-04-04 01:00:00,0.754103,0.612024,0.770225
2012-04-04 02:00:00,0.745897,0.714474,0.765325
2012-04-04 03:00:00,0.682756,0.633117,0.631475
2012-04-04 04:00:00,0.521026,0.733077,0.831000
2012-04-04 05:00:00,0.338462,0.644413,0.554825
2012-04-04 06:00:00,0.209936,0.428036,0.139150
2012-04-04 07:00:00,0.048590,0.401154,0.091025
2012-04-04 08:00:00,0.014423,0.088765,0.014975
2012-04-04 09:00:00,0.000064,0.000000,0.000075
2012-04-04 10:00:00,0.000000,0.000000,0.000000
2012-04-04 11:00:00,0.000000,0.000000,0.000000
